_id,civility,howWeMet,mailing,sms,createdAt,updatedAt,cgu_accepted.cgu_last_version_accepted,cgu_accepted.accepted_when,validatedEmail,companyOrSchool,lastConnection,company.type,company.tvaNumber,email
656dbf85843c536c576b944a,female,parrainage,VRAI,VRAI,2023-11-04 00:00:00,1701691902456.0,VRAI,2023-12-04,VRAI,inconnu,,INCONNU,Pas de TVA,
656db268843c536c576b943b,male,bouche à oreille,FAUX,FAUX,2023-11-04 00:00:00,1701689262124.0,VRAI,2023-12-04,VRAI,inconnu,,INCONNU,Pas de TVA,
656c999b843c536c576b92b7,female,bouche à oreille,VRAI,FAUX,2023-11-03 00:00:00,1701616877948.0,VRAI,2023-12-03,VRAI,company,2023-12-03,ENCOURS,20.0,
656a3826843c536c576b8f55,male,bouche à oreille,FAUX,FAUX,2023-11-01 00:00:00,1701680454743.0,VRAI,2023-12-01,VRAI,inconnu,2023-12-04,INCONNU,Pas de TVA,
656a0b86843c536c576b8ef4,male,bouche à oreille,FAUX,FAUX,2023-11-01 00:00:00,1701448966622.0,VRAI,2023-12-01,VRAI,inconnu,,INCONNU,Pas de TVA,
656997ac11ad9c29f93180b1,male,linkedin,VRAI,VRAI,2023-11-01 00:00:00,1701426796475.0,VRAI,2023-12-01,VRAI,inconnu,,INCONNU,Pas de TVA,
6569016711ad9c29f9317f81,female,recherche web,VRAI,VRAI,2023-10-30 00:00:00,1701381439050.0,VRAI,2023-11-30,VRAI,inconnu,,INCONNU,Pas de TVA,
6568c29411ad9c29f9317ea0,male,bouche à oreille,VRAI,FAUX,2023-10-30 00:00:00,1701364372007.0,VRAI,2023-11-30,VRAI,inconnu,,INCONNU,Pas de TVA,
65687d2711ad9c29f9317dd7,male,entreprise partenaire,VRAI,VRAI,2023-10-30 00:00:00,1701346955122.0,VRAI,2023-11-30,VRAI,inconnu,,INCONNU,Pas de TVA,
65684ae76df3a711cd4951e5,male,linkedin,VRAI,VRAI,2023-10-30 00:00:00,1701334107423.0,VRAI,2023-11-30,VRAI,inconnu,,INCONNU,Pas de TVA,
65679f206df3a711cd495148,female,bouche à oreille,VRAI,FAUX,2023-10-29 00:00:00,1701290054508.0,VRAI,2023-11-29,VRAI,company,,SARL,20.0,
6567845a6df3a711cd49512e,male,bouche à oreille,FAUX,FAUX,2023-10-29 00:00:00,1701441932452.0,VRAI,2023-11-29,VRAI,inconnu,,INCONNU,Pas de TVA,
6567795f6df3a711cd495124,female,linkedin,VRAI,VRAI,2023-10-29 00:00:00,1701439195952.0,VRAI,2023-11-29,VRAI,inconnu,2023-12-01,INCONNU,Pas de TVA,
65675f556df3a711cd4950df,female,bouche à oreille,FAUX,FAUX,2023-10-29 00:00:00,1701353778806.0,VRAI,2023-11-29,VRAI,school,2023-11-30,SAS,0.0,
